County,Case rate,Death rate
Adams,11959,145
Alamosa,10577,228
Arapahoe,9724,125
Archuleta,7285,14
Baca,8992,112
Bent,27721,394
Boulder,7370,80
Broomfield,7070,111
Chaffee,8656,123
Cheyenne,7100,328
Clear Creek,4907,31
Conejos,8946,219
Costilla,6432,129
Crowley,36496,264
Custer,4420,39
Delta,9354,209
Denver,10202,116
Dolores,6180,49
Douglas,8841,76
Eagle,11510,42
El Paso,10131,121
Elbert,7045,49
Fremont,13650,132
Garfield,10206,78
Gilpin,4501,48
Grand,9559,44
Gunnison,7914,34
Hinsdale,2317,0
Huerfano,6278,246
Jackson,4813,0
Jefferson,8363,137
Kiowa,6757,213
Kit Carson,9074,155
La Plata,7326,73
Lake,10262,0
Larimer,7733,69
Las Animas,8045,97
Lincoln,18120,70
Logan,18073,308
Mesa,10964,160
Mineral,12094,130
Moffat,7415,181
Montezuma,7952,95
Montrose,8677,150
Morgan,9409,330
Otero,11396,372
Ouray,5876,61
Park,4394,27
Phillips,9332,305
Pitkin,14679,23
Provers,10491,181
Pueblo,11600,248
Rio Blanco,9646,79
Rio Grande,7944,142
Routt,8881,82
Saguache,6389,73
San Juan,6456,0
San Miguel,11248,12
Sedgwick,10498,133
Summit,12109,26
Teller,7539,71
Washington,9658,265
Weld,10272,108
Yuma,9672,170