Test Date,New Positives
2020-03-01,0
2020-03-02,1
2020-03-03,0
2020-03-04,2
2020-03-05,22
2020-03-06,11
2020-03-07,24
2020-03-08,28
2020-03-09,63
2020-03-10,44
2020-03-11,56
2020-03-12,102
2020-03-13,164
2020-03-14,131
2020-03-15,294
2020-03-16,432
2020-03-17,1009
2020-03-18,1769
2020-03-19,2950
2020-03-20,3254
2020-03-21,4812
2020-03-22,5707
2020-03-23,4790
2020-03-24,5145
2020-03-25,6448
2020-03-26,7379
2020-03-27,7681
2020-03-28,7195
2020-03-29,6984
2020-03-30,9298
2020-03-31,7917
2020-04-01,8669
2020-04-02,10482
2020-04-03,10841
2020-04-04,8327
2020-04-05,8658
2020-04-06,8174
2020-04-07,10453
2020-04-08,10621
2020-04-09,10575
2020-04-10,9946
2020-04-11,8236
2020-04-12,6337
2020-04-13,7177
2020-04-14,11571
2020-04-15,8505
2020-04-16,7358
2020-04-17,7090
2020-04-18,6054
2020-04-19,4726
2020-04-20,4178
2020-04-21,5526
2020-04-22,6244
2020-04-23,8130
2020-04-24,10553
2020-04-25,5902
2020-04-26,3951
2020-04-27,3110
2020-04-28,4585
2020-04-29,4681
2020-04-30,3942
2020-05-01,4663
2020-05-02,3438
2020-05-03,2538
2020-05-04,2239
2020-05-05,2786
2020-05-06,3491
2020-05-07,2938
2020-05-08,2715
2020-05-09,2273
2020-05-10,1660
2020-05-11,1430
2020-05-12,2176
2020-05-13,2390
2020-05-14,2762
2020-05-15,2419
2020-05-16,1889
2020-05-17,1250
2020-05-18,1474
2020-05-19,1525
2020-05-20,2088
2020-05-21,1696
2020-05-22,1772
2020-05-23,1589
2020-05-24,1249
2020-05-25,1072
2020-05-26,1129
2020-05-27,1768
2020-05-28,1551
2020-05-29,1376
2020-05-30,1110
2020-05-31,941
2020-06-01,1329
2020-06-02,1045
2020-06-03,1048
2020-06-04,1075
2020-06-05,1108
2020-06-06,781
2020-06-07,702
2020-06-08,683
2020-06-09,674
2020-06-10,736
2020-06-11,822
2020-06-12,916
2020-06-13,694
2020-06-14,620
2020-06-15,631
2020-06-16,567
2020-06-17,618
2020-06-18,796
2020-06-19,716
2020-06-20,664
2020-06-21,552
2020-06-22,597
2020-06-23,581
2020-06-24,749
2020-06-25,805
2020-06-26,703
2020-06-27,616
2020-06-28,391
2020-06-29,524
2020-06-30,625
2020-07-01,875
2020-07-02,918
2020-07-03,726
2020-07-04,533
2020-07-05,518
2020-07-06,588
2020-07-07,692
2020-07-08,584
2020-07-09,786
2020-07-10,730
2020-07-11,677
2020-07-12,557
2020-07-13,912
2020-07-14,831
2020-07-15,769
2020-07-16,776
2020-07-17,754
2020-07-18,502
2020-07-19,519
2020-07-20,855
2020-07-21,705
2020-07-22,811
2020-07-23,753
2020-07-24,750
2020-07-25,536
2020-07-26,608
2020-07-27,534
2020-07-28,715
2020-07-29,777
2020-07-30,644
2020-07-31,753
2020-08-01,531
2020-08-02,545
2020-08-03,746
2020-08-04,636
2020-08-05,703
2020-08-06,714
2020-08-07,703
2020-08-08,515
2020-08-09,476
2020-08-10,667
2020-08-11,700
2020-08-12,737
2020-08-13,727
2020-08-14,734
2020-08-15,607
2020-08-16,408
2020-08-17,655
2020-08-18,631
2020-08-19,601
2020-08-20,709
2020-08-21,653
2020-08-22,572
2020-08-23,408
2020-08-24,629
2020-08-25,566
2020-08-26,791
2020-08-27,636
2020-08-28,635
2020-08-29,698
2020-08-30,656
2020-08-31,754
2020-09-01,708
2020-09-02,889
2020-09-03,864
2020-09-04,801
2020-09-05,729
2020-09-06,520
2020-09-07,557
2020-09-08,576
2020-09-09,757
2020-09-10,880
2020-09-11,849
2020-09-12,725
2020-09-13,583
2020-09-14,766
2020-09-15,652
2020-09-16,896
2020-09-17,790
2020-09-18,986
2020-09-19,862
2020-09-20,573
2020-09-21,754
2020-09-22,665
2020-09-23,955
2020-09-24,908
2020-09-25,1005
2020-09-26,866
2020-09-27,834
2020-09-28,1189
2020-09-29,1000
2020-09-30,1382
2020-10-01,1598
2020-10-02,1731
2020-10-03,1222
2020-10-04,933
2020-10-05,1393
2020-10-06,1360
2020-10-07,1836
2020-10-08,1592
2020-10-09,1447
2020-10-10,1143
2020-10-11,1029
2020-10-12,1393
2020-10-13,1232
2020-10-14,1460
2020-10-15,1707
2020-10-16,1784
2020-10-17,1390
2020-10-18,998
2020-10-19,1201
2020-10-20,2026
2020-10-21,1628
2020-10-22,1637
2020-10-23,2061
2020-10-24,1632
2020-10-25,1191
2020-10-26,1991
2020-10-27,2031
2020-10-28,2499
2020-10-29,2255
2020-10-30,2049
2020-10-31,2255
2020-11-01,1633
2020-11-02,2321
2020-11-03,2126
2020-11-04,2997
2020-11-05,3209
2020-11-06,3587
2020-11-07,3428
2020-11-08,3144
2020-11-09,3965
2020-11-10,4820
2020-11-11,4797
2020-11-12,5401
2020-11-13,5388
2020-11-14,3649
2020-11-15,3490
2020-11-16,5088
2020-11-17,5294
2020-11-18,5310
2020-11-19,5468
2020-11-20,5973
2020-11-21,5391
2020-11-22,5906
2020-11-23,4881
2020-11-24,6265
2020-11-25,6933
2020-11-26,8176
2020-11-27,6063
2020-11-28,6723
2020-11-29,6819
2020-11-30,7285
2020-12-01,8973
2020-12-02,9855
2020-12-03,11271
2020-12-04,10761
2020-12-05,9702
2020-12-06,7302
2020-12-07,9335
2020-12-08,10600
2020-12-09,10178
2020-12-10,10595
2020-12-11,11129
2020-12-12,10194
2020-12-13,9044
2020-12-14,10353
2020-12-15,9998
2020-12-16,10914
2020-12-17,12697
2020-12-18,9919
2020-12-19,9957
2020-12-20,9007
2020-12-21,9716
2020-12-22,11937
2020-12-23,12568
2020-12-24,12446
2020-12-25,10806
2020-12-26,7623
2020-12-27,10407
2020-12-28,11438
2020-12-29,13422
2020-12-30,16802
2020-12-31,16497
2021-01-01,15074
2021-01-02,11368
2021-01-03,11209
2021-01-04,12666
2021-01-05,16648
2021-01-06,17636
2021-01-07,18832
2021-01-08,16943
2021-01-09,15355
2021-01-10,13714
2021-01-11,15214
2021-01-12,14577
2021-01-13,13661
2021-01-14,19942
2021-01-15,15998
2021-01-16,13842
2021-01-17,12185
2021-01-18,12512
2021-01-19,13364
2021-01-20,13886
2021-01-21,15144
2021-01-22,13786
2021-01-23,12720
2021-01-24,12003
2021-01-25,11064
2021-01-26,11028
2021-01-27,13398
2021-01-28,12579
2021-01-29,12804
2021-01-30,10793
2021-01-31,8508
2021-02-01,8215
2021-02-02,5925
2021-02-03,7414
2021-02-04,8777
2021-02-05,11252
2021-02-06,10025
2021-02-07,8448
2021-02-08,7866
2021-02-09,7101
2021-02-10,10099
2021-02-11,8404
2021-02-12,8763
2021-02-13,8316
2021-02-14,6365
2021-02-15,6753
2021-02-16,6092
2021-02-17,6794
2021-02-18,8710
2021-02-19,7692
2021-02-20,6610
2021-02-21,6146
2021-02-22,6654
2021-02-23,6189
2021-02-24,8746
2021-02-25,8204
2021-02-26,8141
2021-02-27,7580
2021-02-28,6235
2021-03-01,5800
2021-03-02,7704
2021-03-03,7593
2021-03-04,8956
2021-03-05,7647
2021-03-06,6789
2021-03-07,5309
2021-03-08,6850
2021-03-09,6489
2021-03-10,6747
2021-03-11,9299
2021-03-12,6600
2021-03-13,5943
2021-03-14,5807
2021-03-15,6508
2021-03-16,8976
2021-03-17,7796
2021-03-18,8262
2021-03-19,7623
2021-03-20,7938
2021-03-21,6361
2021-03-22,6801
2021-03-23,7278
2021-03-24,8081
2021-03-25,8507
2021-03-26,8201
2021-03-27,9395
2021-03-28,7622
2021-03-29,6488
2021-03-30,8382
2021-03-31,8888
2021-04-01,7787
2021-04-02,7846
2021-04-03,7467
2021-04-04,6583
2021-04-05,5748
2021-04-06,7213
2021-04-07,8379
2021-04-08,9014
2021-04-09,7283
2021-04-10,6764
2021-04-11,4926
2021-04-12,5029
2021-04-13,6192
2021-04-14,6884
2021-04-15,6555
2021-04-16,8235
2021-04-17,5704
2021-04-18,4339
2021-04-19,3922
2021-04-20,4326
2021-04-21,4996
2021-04-22,4901
2021-04-23,4164
2021-04-24,4087
2021-04-25,3039
2021-04-26,2704
2021-04-27,3146
2021-04-28,4073
2021-04-29,3868
2021-04-30,3725
2021-05-01,2849
2021-05-02,2200
2021-05-03,2173
2021-05-04,2463
2021-05-05,2585
2021-05-06,2370
2021-05-07,3195
2021-05-08,2269
2021-05-09,1580
2021-05-10,1516
2021-05-11,1830
2021-05-12,2216
2021-05-13,2068
2021-05-14,2041
2021-05-15,1561
2021-05-16,1278
2021-05-17,1030
2021-05-18,1431
2021-05-19,1583
2021-05-20,1540
2021-05-21,1347
2021-05-22,1073
2021-05-23,929
2021-05-24,767
2021-05-25,936
2021-05-26,1055
2021-05-27,937
2021-05-28,870
2021-05-29,785
2021-05-30,494
2021-05-31,391
2021-06-01,431
2021-06-02,565
2021-06-03,779
2021-06-04,761
2021-06-05,549
2021-06-06,463
2021-06-07,442
2021-06-08,426
2021-06-09,566
2021-06-10,480
2021-06-11,533
2021-06-12,383
2021-06-13,320
2021-06-14,320
2021-06-15,349
2021-06-16,418
2021-06-17,370
2021-06-18,418
2021-06-19,258
2021-06-20,251
2021-06-21,260
2021-06-22,310
2021-06-23,343
2021-06-24,343
2021-06-25,385
2021-06-26,346
2021-06-27,290
2021-06-28,275
2021-06-29,345
2021-06-30,411
2021-07-01,506
2021-07-02,410
2021-07-03,421
2021-07-04,368
2021-07-05,255
2021-07-06,486
2021-07-07,670
2021-07-08,817
2021-07-09,661
2021-07-10,666
2021-07-11,573
2021-07-12,643
2021-07-13,812
2021-07-14,956
2021-07-15,981
2021-07-16,1156
2021-07-17,1142
2021-07-18,823